# Tag name          ;  color
Marker Beacon       ; #c64600
STANAG              ; #613583
neo                 ; #8ff0a4
Time Signal         ; #9141ac
CIS                 ; #f9f06b
MWARA               ; #ff7800
SITOR               ; #26a269
HFDL                ; #ffbe6f
WSPR                ; #dc8add
FSK                 ; #e5a50a
Morse               ; #99c1f1
FAX                 ; #f6d32d

# Frequency ; Name                     ; Modulation          ;  Bandwidth; Tags
       11900; Alpha F1 RUS (navigation system); CW-U                ;        500; Morse
       12090; Alpha F4 RUS (navigation system); CW-U                ;        500; Morse
       12650; Alpha F2 RUS (navigation system); CW-U                ;        500; Morse
       14880; Alpha F3/p RUS (navigation system); CW-U                ;        500; Morse
       15250; Alpha (wideband reception); LSB                 ;       2700; neo
       16300; VTX1 IND (MSK)           ; CW-U                ;        500; Morse
       16400; JXN NOR (MSK)            ; CW-U                ;        500; Morse
       16800; FTA FRA (FSK)            ; CW-U                ;        500; FSK
       17000; VTX2 IND (MSK)           ; CW-U                ;        500; Morse
       17200; SAQ SWE (Grimeton alternator, twice yearly transmissions, see: alexander.n.se/?lang=en); CW-U                ;        500; Morse
       18100; RDL RUS (FSK)            ; CW-U                ;        500; FSK
       18200; VTX3 IND (MSK)           ; CW-U                ;        500; Morse
       18300; HWU FR (MSK)             ; CW-U                ;        500; Morse
       18900; RDL RUS (FSK)            ; CW-U                ;        500; FSK
       19200; VTX4 IND (MSK)           ; CW-U                ;        500; Morse
       19550; GQD? GBR (FSK)           ; CW-U                ;        500; FSK
       19800; NWC AUS (MSK)            ; CW-U                ;        500; Morse
       20270; ICV ITA (MSK)            ; CW-U                ;        500; Morse
       20500; 3SA/3SB? CHN (FSK)       ; CW-U                ;        500; FSK
       20900; HWU FR (MSK)             ; CW-U                ;        500; Morse
       21100; RDL RUS (FSK)            ; CW-U                ;        500; FSK
       21400; NPM HI (MSK)             ; CW-U                ;        500; Morse
       21500; ? FSK                    ; CW-U                ;        500; FSK
       21750; HWU FR (MSK)             ; CW-U                ;        500; Morse
       22100; GBZ GBR (Skelton, FSK)   ; CW-U                ;        500; FSK
       22200; NDT/JJI JPN (MSK)        ; CW-U                ;        500; Morse
       22600; HWU FR (MSK)             ; CW-U                ;        500; Morse
       23400; DHO38 GER (MSK)          ; CW-U                ;        500; Morse
       24000; NAA MA (MSK)             ; CW-U                ;        500; Morse
       24100; KOR (50bd/50Hz 9/1/2 FSK, per David L. Wilson); CW-U                ;        500; FSK
       24500; CHN? (FSK)               ; CW-U                ;        500; FSK
       24800; NLK WA (MSK)             ; CW-U                ;        500; Morse
       25000; KOR (FSK, per David L. Wilson); CW-U                ;        500; FSK
       25000; RAB99 RUS (Beta time signal, ID @xx:06:00); CW-U                ;        500; Time Signal
       25200; NLM4 ND (MSK)            ; CW-U                ;        500; Morse
       26000; Negev ISR (FSK)          ; CW-U                ;        500; FSK
       26700; TBB TUR (FSK)            ; CW-U                ;        500; FSK
       27300; RDL RUS (FSK, keyed-FSK ID); CW-U                ;        500; FSK
       28000; 3SB/3SQ? CHN (MSK)       ; CW-U                ;        500; Morse
       29700; Negev ISR (FSK)          ; CW-U                ;        500; FSK
       31500; ? FSK                    ; CW-U                ;        500; FSK
       37500; TFK ISL                  ; CW-U                ;        500; Morse
       38000; SRC/SHR SWE (FSK)        ; CW-U                ;        500; FSK
       40000; JJY JPN (ID @ xx:15&45:40, time signal); CW-U                ;        500; Time Signal
       40400; SRC SWE                  ; CW-U                ;        500; Morse
       40750; NAU PR (MSK)             ; CW-U                ;        500; Morse
       42500; SRC SWE                  ; CW-U                ;        500; Morse
       44200; ? ex-SRC (FSK, SWE)      ; CW-U                ;        500; FSK
       45900; NSY ITA (MSK)            ; CW-U                ;        500; Morse
       49000; SXA GRC (MSK)            ; CW-U                ;        500; Morse
       49700; RTZ RUS (time signal)    ; CW-U                ;        500; Time Signal
       51950; GIY20/GNY1/GYW1 GBR (FSK); CW-U                ;        500; FSK
       53625; FSK (UNID, EU)           ; CW-U                ;        500; FSK
       54000; NDI JPN (MSK)            ; CW-U                ;        500; Morse
       57400; NRK ISL (FSK)            ; CW-U                ;        500; FSK
       60000; JJY JPN (ID @ xx:15&45:40, time signal); CW-U                ;        500; Time Signal
       60000; WWVB (no ID, reversed bit pattern, time signal); CW-U                ;        500; Time Signal
       60000; MSF GBR (time signal)    ; CW-U                ;        500; Time Signal
       61830; ? FSK (UNID)             ; CW-U                ;        500; FSK
       62600; FUG FRA (MSK)            ; CW-U                ;        500; Morse
       63850; FTA63 FRA (FSK)          ; CW-U                ;        500; FSK
